# k                      T(k)
1.215163093463773013e-02 1.337443274439970039e-16
1.738079593969119735e-02 4.123476799162796137e-06
2.486020758218427523e-02 8.490680321587421638e-04
3.555820591725290108e-02 1.685110794781673541e-02
5.085983308360884914e-02 1.353147271629911441e-01
7.274615112224967761e-02 3.244025278513534283e-01
1.040507249483423741e-01 5.240645029981532144e-01
1.488264766624094460e-01 6.476150570199589174e-01
2.128704068784055270e-01 7.202823023611534259e-01
3.044741173801050471e-01 7.835326702391519627e-01
4.354973033304155861e-01 8.128182659068170501e-01
6.229031972898220193e-01 8.181060391534545895e-01
8.909547550045278097e-01 8.181013454349674863e-01
1.274355917450591846e+00 7.740512057013347880e-01
